12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/03/2003,Avon and Somerset,South West,All other theft offences,25959
31/03/2003,Avon and Somerset,South West,Bicycle theft,3090
31/03/2003,Avon and Somerset,South West,Criminal damage and arson,26202
31/03/2003,Avon and Somerset,South West,Death or serious injury caused by illegal driving,2
31/03/2003,Avon and Somerset,South West,Domestic burglary,14561
31/03/2003,Avon and Somerset,South West,Drug offences,2308
31/03/2003,Avon and Somerset,South West,Fraud offences,5339
31/03/2003,Avon and Somerset,South West,Homicide,19
31/03/2003,Avon and Somerset,South West,Miscellaneous crimes against society,1597
31/03/2003,Avon and Somerset,South West,Non-domestic burglary,15621
31/03/2003,Avon and Somerset,South West,Possession of weapons offences,735
31/03/2003,Avon and Somerset,South West,Public order offences,4025
31/03/2003,Avon and Somerset,South West,Robbery,3504
31/03/2003,Avon and Somerset,South West,Sexual offences,1737
31/03/2003,Avon and Somerset,South West,Shoplifting,8410
31/03/2003,Avon and Somerset,South West,Stalking and harassment,740
31/03/2003,Avon and Somerset,South West,Theft from the person,2554
31/03/2003,Avon and Somerset,South West,Vehicle offences,41781
31/03/2003,Avon and Somerset,South West,Violence with injury,8565
31/03/2003,Avon and Somerset,South West,Violence without injury,7117
31/03/2003,Bedfordshire,East,All other theft offences,8797
31/03/2003,Bedfordshire,East,Bicycle theft,719
31/03/2003,Bedfordshire,East,Criminal damage and arson,10006
31/03/2003,Bedfordshire,East,Death or serious injury caused by illegal driving,8
31/03/2003,Bedfordshire,East,Domestic burglary,3784
31/03/2003,Bedfordshire,East,Drug offences,1069
31/03/2003,Bedfordshire,East,Fraud offences,3972
31/03/2003,Bedfordshire,East,Homicide,2
31/03/2003,Bedfordshire,East,Miscellaneous crimes against society,780
31/03/2003,Bedfordshire,East,Non-domestic burglary,4552
31/03/2003,Bedfordshire,East,Possession of weapons offences,417
31/03/2003,Bedfordshire,East,Public order offences,1023
31/03/2003,Bedfordshire,East,Robbery,997
31/03/2003,Bedfordshire,East,Sexual offences,535
31/03/2003,Bedfordshire,East,Shoplifting,3724
31/03/2003,Bedfordshire,East,Stalking and harassment,187
31/03/2003,Bedfordshire,East,Theft from the person,1094
31/03/2003,Bedfordshire,East,Vehicle offences,12552
31/03/2003,Bedfordshire,East,Violence with injury,4421
31/03/2003,Bedfordshire,East,Violence without injury,2256
31/03/2003,British Transport Police,British Transport Police,All other theft offences,21711
31/03/2003,British Transport Police,British Transport Police,Bicycle theft,2737
31/03/2003,British Transport Police,British Transport Police,Criminal damage and arson,11334
31/03/2003,British Transport Police,British Transport Police,Death or serious injury caused by illegal driving,0
31/03/2003,British Transport Police,British Transport Police,Domestic burglary,12
31/03/2003,British Transport Police,British Transport Police,Drug offences,2230
31/03/2003,British Transport Police,British Transport Police,Fraud offences,1170
31/03/2003,British Transport Police,British Transport Police,Homicide,4
31/03/2003,British Transport Police,British Transport Police,Miscellaneous crimes against society,1094
31/03/2003,British Transport Police,British Transport Police,Non-domestic burglary,1260
31/03/2003,British Transport Police,British Transport Police,Possession of weapons offences,734
31/03/2003,British Transport Police,British Transport Police,Public order offences,2817
31/03/2003,British Transport Police,British Transport Police,Robbery,2242
31/03/2003,British Transport Police,British Transport Police,Sexual offences,945
31/03/2003,British Transport Police,British Transport Police,Shoplifting,1543
31/03/2003,British Transport Police,British Transport Police,Stalking and harassment,21
31/03/2003,British Transport Police,British Transport Police,Theft from the person,13096
31/03/2003,British Transport Police,British Transport Police,Vehicle offences,7164
31/03/2003,British Transport Police,British Transport Police,Violence with injury,3386
31/03/2003,British Transport Police,British Transport Police,Violence without injury,3764
31/03/2003,Cambridgeshire,East,All other theft offences,12812
31/03/2003,Cambridgeshire,East,Bicycle theft,3975
31/03/2003,Cambridgeshire,East,Criminal damage and arson,16022
31/03/2003,Cambridgeshire,East,Death or serious injury caused by illegal driving,8
31/03/2003,Cambridgeshire,East,Domestic burglary,5457
31/03/2003,Cambridgeshire,East,Drug offences,904
31/03/2003,Cambridgeshire,East,Fraud offences,2564
31/03/2003,Cambridgeshire,East,Homicide,12
31/03/2003,Cambridgeshire,East,Miscellaneous crimes against society,783
31/03/2003,Cambridgeshire,East,Non-domestic burglary,7318
31/03/2003,Cambridgeshire,East,Possession of weapons offences,335
31/03/2003,Cambridgeshire,East,Public order offences,2931
31/03/2003,Cambridgeshire,East,Robbery,906
31/03/2003,Cambridgeshire,East,Sexual offences,806
31/03/2003,Cambridgeshire,East,Shoplifting,4420
31/03/2003,Cambridgeshire,East,Stalking and harassment,573
31/03/2003,Cambridgeshire,East,Theft from the person,1087
31/03/2003,Cambridgeshire,East,Vehicle offences,14872
31/03/2003,Cambridgeshire,East,Violence with injury,4019
31/03/2003,Cambridgeshire,East,Violence without injury,5225
31/03/2003,Cheshire,North West,All other theft offences,11655
31/03/2003,Cheshire,North West,Bicycle theft,1551
31/03/2003,Cheshire,North West,Criminal damage and arson,18874
31/03/2003,Cheshire,North West,Death or serious injury caused by illegal driving,4
31/03/2003,Cheshire,North West,Domestic burglary,6409
31/03/2003,Cheshire,North West,Drug offences,1717
31/03/2003,Cheshire,North West,Fraud offences,1505
31/03/2003,Cheshire,North West,Homicide,8
31/03/2003,Cheshire,North West,Miscellaneous crimes against society,920
31/03/2003,Cheshire,North West,Non-domestic burglary,7785
31/03/2003,Cheshire,North West,Possession of weapons offences,330
31/03/2003,Cheshire,North West,Public order offences,1633
31/03/2003,Cheshire,North West,Robbery,631
31/03/2003,Cheshire,North West,Sexual offences,738
31/03/2003,Cheshire,North West,Shoplifting,5542
31/03/2003,Cheshire,North West,Stalking and harassment,230
31/03/2003,Cheshire,North West,Theft from the person,861
31/03/2003,Cheshire,North West,Vehicle offences,15107
31/03/2003,Cheshire,North West,Violence with injury,4115
31/03/2003,Cheshire,North West,Violence without injury,4959
31/03/2003,City of London,London,All other theft offences,3710
31/03/2003,City of London,London,Bicycle theft,427
31/03/2003,City of London,London,Criminal damage and arson,365
31/03/2003,City of London,London,Death or serious injury caused by illegal driving,0
31/03/2003,City of London,London,Domestic burglary,46
31/03/2003,City of London,London,Drug offences,790
31/03/2003,City of London,London,Fraud offences,856
31/03/2003,City of London,London,Homicide,1
31/03/2003,City of London,London,Miscellaneous crimes against society,399
31/03/2003,City of London,London,Non-domestic burglary,398
31/03/2003,City of London,London,Possession of weapons offences,137
31/03/2003,City of London,London,Public order offences,215
31/03/2003,City of London,London,Robbery,45
31/03/2003,City of London,London,Sexual offences,39
31/03/2003,City of London,London,Shoplifting,939
31/03/2003,City of London,London,Stalking and harassment,68
31/03/2003,City of London,London,Theft from the person,295
31/03/2003,City of London,London,Vehicle offences,718
31/03/2003,City of London,London,Violence with injury,297
31/03/2003,City of London,London,Violence without injury,281
31/03/2003,Cleveland,North East,All other theft offences,8080
31/03/2003,Cleveland,North East,Bicycle theft,1028
31/03/2003,Cleveland,North East,Criminal damage and arson,14550
31/03/2003,Cleveland,North East,Death or serious injury caused by illegal driving,1
31/03/2003,Cleveland,North East,Domestic burglary,7321
31/03/2003,Cleveland,North East,Drug offences,1685
31/03/2003,Cleveland,North East,Fraud offences,838
31/03/2003,Cleveland,North East,Homicide,9
31/03/2003,Cleveland,North East,Miscellaneous crimes against society,1165
31/03/2003,Cleveland,North East,Non-domestic burglary,7535
31/03/2003,Cleveland,North East,Possession of weapons offences,384
31/03/2003,Cleveland,North East,Public order offences,866
31/03/2003,Cleveland,North East,Robbery,1434
31/03/2003,Cleveland,North East,Sexual offences,380
31/03/2003,Cleveland,North East,Shoplifting,6207
31/03/2003,Cleveland,North East,Stalking and harassment,73
31/03/2003,Cleveland,North East,Theft from the person,932
31/03/2003,Cleveland,North East,Vehicle offences,16062
31/03/2003,Cleveland,North East,Violence with injury,2692
31/03/2003,Cleveland,North East,Violence without injury,2574
31/03/2003,Cumbria,North West,All other theft offences,5364
31/03/2003,Cumbria,North West,Bicycle theft,606
31/03/2003,Cumbria,North West,Criminal damage and arson,10263
31/03/2003,Cumbria,North West,Death or serious injury caused by illegal driving,3
31/03/2003,Cumbria,North West,Domestic burglary,2146
31/03/2003,Cumbria,North West,Drug offences,1038
31/03/2003,Cumbria,North West,Fraud offences,629
31/03/2003,Cumbria,North West,Homicide,4
31/03/2003,Cumbria,North West,Miscellaneous crimes against society,519
31/03/2003,Cumbria,North West,Non-domestic burglary,2749
31/03/2003,Cumbria,North West,Possession of weapons offences,154
31/03/2003,Cumbria,North West,Public order offences,1040
31/03/2003,Cumbria,North West,Robbery,130
31/03/2003,Cumbria,North West,Sexual offences,218
31/03/2003,Cumbria,North West,Shoplifting,2571
31/03/2003,Cumbria,North West,Stalking and harassment,77
31/03/2003,Cumbria,North West,Theft from the person,188
31/03/2003,Cumbria,North West,Vehicle offences,5308
31/03/2003,Cumbria,North West,Violence with injury,3039
31/03/2003,Cumbria,North West,Violence without injury,1549
31/03/2003,Derbyshire,East Midlands,All other theft offences,14772
31/03/2003,Derbyshire,East Midlands,Bicycle theft,1301
31/03/2003,Derbyshire,East Midlands,Criminal damage and arson,17646
31/03/2003,Derbyshire,East Midlands,Death or serious injury caused by illegal driving,9
31/03/2003,Derbyshire,East Midlands,Domestic burglary,8551
31/03/2003,Derbyshire,East Midlands,Drug offences,1877
31/03/2003,Derbyshire,East Midlands,Fraud offences,2565
31/03/2003,Derbyshire,East Midlands,Homicide,8
31/03/2003,Derbyshire,East Midlands,Miscellaneous crimes against society,1765
31/03/2003,Derbyshire,East Midlands,Non-domestic burglary,9914
31/03/2003,Derbyshire,East Midlands,Possession of weapons offences,577
31/03/2003,Derbyshire,East Midlands,Public order offences,1875
31/03/2003,Derbyshire,East Midlands,Robbery,1048
31/03/2003,Derbyshire,East Midlands,Sexual offences,1107
31/03/2003,Derbyshire,East Midlands,Shoplifting,5455
31/03/2003,Derbyshire,East Midlands,Stalking and harassment,562
31/03/2003,Derbyshire,East Midlands,Theft from the person,2301
31/03/2003,Derbyshire,East Midlands,Vehicle offences,18861
31/03/2003,Derbyshire,East Midlands,Violence with injury,10143
31/03/2003,Derbyshire,East Midlands,Violence without injury,2843
31/03/2003,Devon and Cornwall,South West,All other theft offences,20049
31/03/2003,Devon and Cornwall,South West,Bicycle theft,1443
31/03/2003,Devon and Cornwall,South West,Criminal damage and arson,26723
31/03/2003,Devon and Cornwall,South West,Death or serious injury caused by illegal driving,8
31/03/2003,Devon and Cornwall,South West,Domestic burglary,7207
31/03/2003,Devon and Cornwall,South West,Drug offences,4516
31/03/2003,Devon and Cornwall,South West,Fraud offences,4508
31/03/2003,Devon and Cornwall,South West,Homicide,19
31/03/2003,Devon and Cornwall,South West,Miscellaneous crimes against society,1923
31/03/2003,Devon and Cornwall,South West,Non-domestic burglary,8493
31/03/2003,Devon and Cornwall,South West,Possession of weapons offences,899
31/03/2003,Devon and Cornwall,South West,Public order offences,2808
31/03/2003,Devon and Cornwall,South West,Robbery,710
31/03/2003,Devon and Cornwall,South West,Sexual offences,1362
31/03/2003,Devon and Cornwall,South West,Shoplifting,7126
31/03/2003,Devon and Cornwall,South West,Stalking and harassment,501
31/03/2003,Devon and Cornwall,South West,Theft from the person,1712
31/03/2003,Devon and Cornwall,South West,Vehicle offences,21105
31/03/2003,Devon and Cornwall,South West,Violence with injury,13444
31/03/2003,Devon and Cornwall,South West,Violence without injury,6684
31/03/2003,Dorset,South West,All other theft offences,10371
31/03/2003,Dorset,South West,Bicycle theft,1624
31/03/2003,Dorset,South West,Criminal damage and arson,12196
31/03/2003,Dorset,South West,Death or serious injury caused by illegal driving,4
31/03/2003,Dorset,South West,Domestic burglary,2947
31/03/2003,Dorset,South West,Drug offences,1371
31/03/2003,Dorset,South West,Fraud offences,4332
31/03/2003,Dorset,South West,Homicide,9
31/03/2003,Dorset,South West,Miscellaneous crimes against society,708
31/03/2003,Dorset,South West,Non-domestic burglary,4408
31/03/2003,Dorset,South West,Possession of weapons offences,272
31/03/2003,Dorset,South West,Public order offences,862
31/03/2003,Dorset,South West,Robbery,437
31/03/2003,Dorset,South West,Sexual offences,655
31/03/2003,Dorset,South West,Shoplifting,3480
31/03/2003,Dorset,South West,Stalking and harassment,312
31/03/2003,Dorset,South West,Theft from the person,1063
31/03/2003,Dorset,South West,Vehicle offences,10421
31/03/2003,Dorset,South West,Violence with injury,2700
31/03/2003,Dorset,South West,Violence without injury,4125
31/03/2003,Durham,North East,All other theft offences,5622
31/03/2003,Durham,North East,Bicycle theft,726
31/03/2003,Durham,North East,Criminal damage and arson,14010
31/03/2003,Durham,North East,Death or serious injury caused by illegal driving,6
31/03/2003,Durham,North East,Domestic burglary,3083
31/03/2003,Durham,North East,Drug offences,1289
31/03/2003,Durham,North East,Fraud offences,833
31/03/2003,Durham,North East,Homicide,6
31/03/2003,Durham,North East,Miscellaneous crimes against society,788
31/03/2003,Durham,North East,Non-domestic burglary,4573
31/03/2003,Durham,North East,Possession of weapons offences,325
31/03/2003,Durham,North East,Public order offences,1434
31/03/2003,Durham,North East,Robbery,287
31/03/2003,Durham,North East,Sexual offences,456
31/03/2003,Durham,North East,Shoplifting,2996
31/03/2003,Durham,North East,Stalking and harassment,217
31/03/2003,Durham,North East,Theft from the person,404
31/03/2003,Durham,North East,Vehicle offences,8058
31/03/2003,Durham,North East,Violence with injury,2332
31/03/2003,Durham,North East,Violence without injury,3732
31/03/2003,Dyfed-Powys,Wales,All other theft offences,2635
31/03/2003,Dyfed-Powys,Wales,Bicycle theft,230
31/03/2003,Dyfed-Powys,Wales,Criminal damage and arson,4890
31/03/2003,Dyfed-Powys,Wales,Death or serious injury caused by illegal driving,9
31/03/2003,Dyfed-Powys,Wales,Domestic burglary,666
31/03/2003,Dyfed-Powys,Wales,Drug offences,2978
31/03/2003,Dyfed-Powys,Wales,Fraud offences,959
31/03/2003,Dyfed-Powys,Wales,Homicide,9
31/03/2003,Dyfed-Powys,Wales,Miscellaneous crimes against society,740
31/03/2003,Dyfed-Powys,Wales,Non-domestic burglary,1438
31/03/2003,Dyfed-Powys,Wales,Possession of weapons offences,381
31/03/2003,Dyfed-Powys,Wales,Public order offences,1764
31/03/2003,Dyfed-Powys,Wales,Robbery,40
31/03/2003,Dyfed-Powys,Wales,Sexual offences,298
31/03/2003,Dyfed-Powys,Wales,Shoplifting,1390
31/03/2003,Dyfed-Powys,Wales,Stalking and harassment,89
31/03/2003,Dyfed-Powys,Wales,Theft from the person,24
31/03/2003,Dyfed-Powys,Wales,Vehicle offences,2237
31/03/2003,Dyfed-Powys,Wales,Violence with injury,3160
31/03/2003,Dyfed-Powys,Wales,Violence without injury,1167
31/03/2003,Essex,East,All other theft offences,21315
31/03/2003,Essex,East,Bicycle theft,2100
31/03/2003,Essex,East,Criminal damage and arson,30225
31/03/2003,Essex,East,Death or serious injury caused by illegal driving,8
31/03/2003,Essex,East,Domestic burglary,7138
31/03/2003,Essex,East,Drug offences,2377
31/03/2003,Essex,East,Fraud offences,3149
31/03/2003,Essex,East,Homicide,22
31/03/2003,Essex,East,Miscellaneous crimes against society,1364
31/03/2003,Essex,East,Non-domestic burglary,9771
31/03/2003,Essex,East,Possession of weapons offences,830
31/03/2003,Essex,East,Public order offences,3530
31/03/2003,Essex,East,Robbery,1328
31/03/2003,Essex,East,Sexual offences,1578
31/03/2003,Essex,East,Shoplifting,8336
31/03/2003,Essex,East,Stalking and harassment,978
31/03/2003,Essex,East,Theft from the person,1810
31/03/2003,Essex,East,Vehicle offences,23131
31/03/2003,Essex,East,Violence with injury,12509
31/03/2003,Essex,East,Violence without injury,4682
31/03/2003,Gloucestershire,South West,All other theft offences,8350
31/03/2003,Gloucestershire,South West,Bicycle theft,1588
31/03/2003,Gloucestershire,South West,Criminal damage and arson,10021
31/03/2003,Gloucestershire,South West,Death or serious injury caused by illegal driving,4
31/03/2003,Gloucestershire,South West,Domestic burglary,3369
31/03/2003,Gloucestershire,South West,Drug offences,1311
31/03/2003,Gloucestershire,South West,Fraud offences,3045
31/03/2003,Gloucestershire,South West,Homicide,9
31/03/2003,Gloucestershire,South West,Miscellaneous crimes against society,665
31/03/2003,Gloucestershire,South West,Non-domestic burglary,5325
31/03/2003,Gloucestershire,South West,Possession of weapons offences,280
31/03/2003,Gloucestershire,South West,Public order offences,1173
31/03/2003,Gloucestershire,South West,Robbery,521
31/03/2003,Gloucestershire,South West,Sexual offences,516
31/03/2003,Gloucestershire,South West,Shoplifting,3816
31/03/2003,Gloucestershire,South West,Stalking and harassment,184
31/03/2003,Gloucestershire,South West,Theft from the person,925
31/03/2003,Gloucestershire,South West,Vehicle offences,8268
31/03/2003,Gloucestershire,South West,Violence with injury,2828
31/03/2003,Gloucestershire,South West,Violence without injury,3577
31/03/2003,Greater Manchester,North West,All other theft offences,38818
31/03/2003,Greater Manchester,North West,Bicycle theft,4598
31/03/2003,Greater Manchester,North West,Criminal damage and arson,76463
31/03/2003,Greater Manchester,North West,Death or serious injury caused by illegal driving,27
31/03/2003,Greater Manchester,North West,Domestic burglary,42396
31/03/2003,Greater Manchester,North West,Drug offences,5667
31/03/2003,Greater Manchester,North West,Fraud offences,9324
31/03/2003,Greater Manchester,North West,Homicide,225
31/03/2003,Greater Manchester,North West,Miscellaneous crimes against society,4405
31/03/2003,Greater Manchester,North West,Non-domestic burglary,32971
31/03/2003,Greater Manchester,North West,Possession of weapons offences,1974
31/03/2003,Greater Manchester,North West,Public order offences,7401
31/03/2003,Greater Manchester,North West,Robbery,10745
31/03/2003,Greater Manchester,North West,Sexual offences,3352
31/03/2003,Greater Manchester,North West,Shoplifting,16399
31/03/2003,Greater Manchester,North West,Stalking and harassment,719
31/03/2003,Greater Manchester,North West,Theft from the person,8809
31/03/2003,Greater Manchester,North West,Vehicle offences,74905
31/03/2003,Greater Manchester,North West,Violence with injury,30460
31/03/2003,Greater Manchester,North West,Violence without injury,9468
31/03/2003,Gwent,Wales,All other theft offences,7104
31/03/2003,Gwent,Wales,Bicycle theft,632
31/03/2003,Gwent,Wales,Criminal damage and arson,12869
31/03/2003,Gwent,Wales,Death or serious injury caused by illegal driving,5
31/03/2003,Gwent,Wales,Domestic burglary,3001
31/03/2003,Gwent,Wales,Drug offences,1585
31/03/2003,Gwent,Wales,Fraud offences,1149
31/03/2003,Gwent,Wales,Homicide,6
31/03/2003,Gwent,Wales,Miscellaneous crimes against society,1274
31/03/2003,Gwent,Wales,Non-domestic burglary,4585
31/03/2003,Gwent,Wales,Possession of weapons offences,262
31/03/2003,Gwent,Wales,Public order offences,4765
31/03/2003,Gwent,Wales,Robbery,329
31/03/2003,Gwent,Wales,Sexual offences,593
31/03/2003,Gwent,Wales,Shoplifting,2878
31/03/2003,Gwent,Wales,Stalking and harassment,547
31/03/2003,Gwent,Wales,Theft from the person,375
31/03/2003,Gwent,Wales,Vehicle offences,9544
31/03/2003,Gwent,Wales,Violence with injury,6961
31/03/2003,Gwent,Wales,Violence without injury,2773
31/03/2003,Hampshire,South East,All other theft offences,23816
31/03/2003,Hampshire,South East,Bicycle theft,4253
31/03/2003,Hampshire,South East,Criminal damage and arson,34611
31/03/2003,Hampshire,South East,Death or serious injury caused by illegal driving,20
31/03/2003,Hampshire,South East,Domestic burglary,6793
31/03/2003,Hampshire,South East,Drug offences,3938
31/03/2003,Hampshire,South East,Fraud offences,3123
31/03/2003,Hampshire,South East,Homicide,36
31/03/2003,Hampshire,South East,Miscellaneous crimes against society,2286
31/03/2003,Hampshire,South East,Non-domestic burglary,11424
31/03/2003,Hampshire,South East,Possession of weapons offences,939
31/03/2003,Hampshire,South East,Public order offences,3958
31/03/2003,Hampshire,South East,Robbery,966
31/03/2003,Hampshire,South East,Sexual offences,2091
31/03/2003,Hampshire,South East,Shoplifting,9784
31/03/2003,Hampshire,South East,Stalking and harassment,623
31/03/2003,Hampshire,South East,Theft from the person,1699
31/03/2003,Hampshire,South East,Vehicle offences,24643
31/03/2003,Hampshire,South East,Violence with injury,7283
31/03/2003,Hampshire,South East,Violence without injury,10378
31/03/2003,Hertfordshire,East,All other theft offences,15320
31/03/2003,Hertfordshire,East,Bicycle theft,1397
31/03/2003,Hertfordshire,East,Criminal damage and arson,17949
31/03/2003,Hertfordshire,East,Death or serious injury caused by illegal driving,12
31/03/2003,Hertfordshire,East,Domestic burglary,5294
31/03/2003,Hertfordshire,East,Drug offences,1553
31/03/2003,Hertfordshire,East,Fraud offences,2909
31/03/2003,Hertfordshire,East,Homicide,7
31/03/2003,Hertfordshire,East,Miscellaneous crimes against society,940
31/03/2003,Hertfordshire,East,Non-domestic burglary,6419
31/03/2003,Hertfordshire,East,Possession of weapons offences,449
31/03/2003,Hertfordshire,East,Public order offences,1140
31/03/2003,Hertfordshire,East,Robbery,862
31/03/2003,Hertfordshire,East,Sexual offences,745
31/03/2003,Hertfordshire,East,Shoplifting,5474
31/03/2003,Hertfordshire,East,Stalking and harassment,201
31/03/2003,Hertfordshire,East,Theft from the person,2185
31/03/2003,Hertfordshire,East,Vehicle offences,17363
31/03/2003,Hertfordshire,East,Violence with injury,3293
31/03/2003,Hertfordshire,East,Violence without injury,2884
31/03/2003,Humberside,Yorkshire and The Humber,All other theft offences,16428
31/03/2003,Humberside,Yorkshire and The Humber,Bicycle theft,3736
31/03/2003,Humberside,Yorkshire and The Humber,Criminal damage and arson,24235
31/03/2003,Humberside,Yorkshire and The Humber,Death or serious injury caused by illegal driving,23
31/03/2003,Humberside,Yorkshire and The Humber,Domestic burglary,12191
31/03/2003,Humberside,Yorkshire and The Humber,Drug offences,1883
31/03/2003,Humberside,Yorkshire and The Humber,Fraud offences,2013
31/03/2003,Humberside,Yorkshire and The Humber,Homicide,18
31/03/2003,Humberside,Yorkshire and The Humber,Miscellaneous crimes against society,1525
31/03/2003,Humberside,Yorkshire and The Humber,Non-domestic burglary,14908
31/03/2003,Humberside,Yorkshire and The Humber,Possession of weapons offences,565
31/03/2003,Humberside,Yorkshire and The Humber,Public order offences,3018
31/03/2003,Humberside,Yorkshire and The Humber,Robbery,1807
31/03/2003,Humberside,Yorkshire and The Humber,Sexual offences,1300
31/03/2003,Humberside,Yorkshire and The Humber,Shoplifting,8114
31/03/2003,Humberside,Yorkshire and The Humber,Stalking and harassment,255
31/03/2003,Humberside,Yorkshire and The Humber,Theft from the person,1817
31/03/2003,Humberside,Yorkshire and The Humber,Vehicle offences,25595
31/03/2003,Humberside,Yorkshire and The Humber,Violence with injury,9216
31/03/2003,Humberside,Yorkshire and The Humber,Violence without injury,3882
31/03/2003,Kent,South East,All other theft offences,20209
31/03/2003,Kent,South East,Bicycle theft,1609
31/03/2003,Kent,South East,Criminal damage and arson,28909
31/03/2003,Kent,South East,Death or serious injury caused by illegal driving,7
31/03/2003,Kent,South East,Domestic burglary,7655
31/03/2003,Kent,South East,Drug offences,3236
31/03/2003,Kent,South East,Fraud offences,2254
31/03/2003,Kent,South East,Homicide,19
31/03/2003,Kent,South East,Miscellaneous crimes against society,1595
31/03/2003,Kent,South East,Non-domestic burglary,10716
31/03/2003,Kent,South East,Possession of weapons offences,977
31/03/2003,Kent,South East,Public order offences,2069
31/03/2003,Kent,South East,Robbery,1242
31/03/2003,Kent,South East,Sexual offences,1333
31/03/2003,Kent,South East,Shoplifting,8394
31/03/2003,Kent,South East,Stalking and harassment,483
31/03/2003,Kent,South East,Theft from the person,1217
31/03/2003,Kent,South East,Vehicle offences,23102
31/03/2003,Kent,South East,Violence with injury,8023
31/03/2003,Kent,South East,Violence without injury,7548
31/03/2003,Lancashire,North West,All other theft offences,17551
31/03/2003,Lancashire,North West,Bicycle theft,2505
31/03/2003,Lancashire,North West,Criminal damage and arson,30653
31/03/2003,Lancashire,North West,Death or serious injury caused by illegal driving,7
31/03/2003,Lancashire,North West,Domestic burglary,9513
31/03/2003,Lancashire,North West,Drug offences,4084
31/03/2003,Lancashire,North West,Fraud offences,3275
31/03/2003,Lancashire,North West,Homicide,28
31/03/2003,Lancashire,North West,Miscellaneous crimes against society,1796
31/03/2003,Lancashire,North West,Non-domestic burglary,10974
31/03/2003,Lancashire,North West,Possession of weapons offences,757
31/03/2003,Lancashire,North West,Public order offences,2647
31/03/2003,Lancashire,North West,Robbery,1409
31/03/2003,Lancashire,North West,Sexual offences,1191
31/03/2003,Lancashire,North West,Shoplifting,7781
31/03/2003,Lancashire,North West,Stalking and harassment,655
31/03/2003,Lancashire,North West,Theft from the person,1566
31/03/2003,Lancashire,North West,Vehicle offences,21561
31/03/2003,Lancashire,North West,Violence with injury,8464
31/03/2003,Lancashire,North West,Violence without injury,4090
31/03/2003,Leicestershire,East Midlands,All other theft offences,14250
31/03/2003,Leicestershire,East Midlands,Bicycle theft,1754
31/03/2003,Leicestershire,East Midlands,Criminal damage and arson,19156
31/03/2003,Leicestershire,East Midlands,Death or serious injury caused by illegal driving,8
31/03/2003,Leicestershire,East Midlands,Domestic burglary,6450
31/03/2003,Leicestershire,East Midlands,Drug offences,1629
31/03/2003,Leicestershire,East Midlands,Fraud offences,2625
31/03/2003,Leicestershire,East Midlands,Homicide,12
31/03/2003,Leicestershire,East Midlands,Miscellaneous crimes against society,1934
31/03/2003,Leicestershire,East Midlands,Non-domestic burglary,6382
31/03/2003,Leicestershire,East Midlands,Possession of weapons offences,448
31/03/2003,Leicestershire,East Midlands,Public order offences,2301
31/03/2003,Leicestershire,East Midlands,Robbery,1453
31/03/2003,Leicestershire,East Midlands,Sexual offences,1077
31/03/2003,Leicestershire,East Midlands,Shoplifting,4778
31/03/2003,Leicestershire,East Midlands,Stalking and harassment,1067
31/03/2003,Leicestershire,East Midlands,Theft from the person,1799
31/03/2003,Leicestershire,East Midlands,Vehicle offences,16664
31/03/2003,Leicestershire,East Midlands,Violence with injury,5663
31/03/2003,Leicestershire,East Midlands,Violence without injury,6693
31/03/2003,Lincolnshire,East Midlands,All other theft offences,9132
31/03/2003,Lincolnshire,East Midlands,Bicycle theft,1810
31/03/2003,Lincolnshire,East Midlands,Criminal damage and arson,13580
31/03/2003,Lincolnshire,East Midlands,Death or serious injury caused by illegal driving,26
31/03/2003,Lincolnshire,East Midlands,Domestic burglary,4290
31/03/2003,Lincolnshire,East Midlands,Drug offences,1060
31/03/2003,Lincolnshire,East Midlands,Fraud offences,1519
31/03/2003,Lincolnshire,East Midlands,Homicide,9
31/03/2003,Lincolnshire,East Midlands,Miscellaneous crimes against society,929
31/03/2003,Lincolnshire,East Midlands,Non-domestic burglary,6541
31/03/2003,Lincolnshire,East Midlands,Possession of weapons offences,382
31/03/2003,Lincolnshire,East Midlands,Public order offences,1546
31/03/2003,Lincolnshire,East Midlands,Robbery,307
31/03/2003,Lincolnshire,East Midlands,Sexual offences,704
31/03/2003,Lincolnshire,East Midlands,Shoplifting,3517
31/03/2003,Lincolnshire,East Midlands,Stalking and harassment,80
31/03/2003,Lincolnshire,East Midlands,Theft from the person,506
31/03/2003,Lincolnshire,East Midlands,Vehicle offences,8435
31/03/2003,Lincolnshire,East Midlands,Violence with injury,4854
31/03/2003,Lincolnshire,East Midlands,Violence without injury,2722
31/03/2003,Merseyside,North West,All other theft offences,17107
31/03/2003,Merseyside,North West,Bicycle theft,1445
31/03/2003,Merseyside,North West,Criminal damage and arson,37272
31/03/2003,Merseyside,North West,Death or serious injury caused by illegal driving,15
31/03/2003,Merseyside,North West,Domestic burglary,14608
31/03/2003,Merseyside,North West,Drug offences,5419
31/03/2003,Merseyside,North West,Fraud offences,2067
31/03/2003,Merseyside,North West,Homicide,41
31/03/2003,Merseyside,North West,Miscellaneous crimes against society,2150
31/03/2003,Merseyside,North West,Non-domestic burglary,11348
31/03/2003,Merseyside,North West,Possession of weapons offences,1079
31/03/2003,Merseyside,North West,Public order offences,2363
31/03/2003,Merseyside,North West,Robbery,2994
31/03/2003,Merseyside,North West,Sexual offences,1515
